name,mean_wind,mean_pressure,year,result
04S_JOAN,27.8611,1065,2017,1
05P_KIM,27.8611,1060,2017,1
SUBTROP,33.00554,1057,2017,1
07S_SUE,25.28888,1064,2017,1
10P_DAVID,30.433320000000002,1057,2017,1
11S_VANESSA,25.28888,1060,2017,1
12P_ELSA,35.57776,1050,2017,1
13P_ALAN,27.8611,1067,2017,1
14P_FRANCES,35.57776,1050,2017,1
15P_BETH,27.8611,1063,2017,1
16S_WALLY,27.8611,1059,2017,1
18S_ALICE,25.28888,1063,2017,1
DAWN_DAWNSECONDA,33.00554,1055,2017,1
20P_HOPE,35.57776,1050,2017,1
LINDA,25.28888,1064,2017,1
25P_JAN,30.433320000000002,1057,2017,1
JAN,30.433320000000002,1057,2017,1
26P_WATOREA,27.8611,1064,2017,1
CAROL,25.28888,1066,2017,1
27S_CAROL,25.28888,1066,2017,1
SUBTROP,25.28888,1070,2017,1
ANNA,25.28888,1075,2017,1
BELLE,27.8611,1072,2017,1
DOTTIE,25.28888,1070,2017,1
CANDICE,30.433320000000002,1067,2017,1
EMMY,25.28888,1072,2017,1
FRANCES,27.8611,1069,2017,1
KATHLEEN,30.433320000000002,1068,2017,1
SUBTROP,22.716659999999994,1077,2017,1
GLORIA,25.28888,1069,2017,1
HOLLY,27.8611,1066,2017,1
KIM,30.433320000000002,1057,2017,1
LAURIE,30.433320000000002,1057,2017,1
03S_HARRY,27.8611,1064,2017,1
04P_TED,27.8611,1065,2017,1
06S_IRENE,30.433320000000002,1060,2017,1
07P_MARION,30.433320000000002,1057,2017,1
08P_JUNE,27.8611,1060,2017,1
12P_KEITH,27.8611,1063,2017,1
CYC19770202_HSK1577,35.57776,1050,2017,1
15P_LILY,27.8611,1059,2017,1
16P_MILES,27.8611,1059,2017,1
18P_NANCY,30.433320000000002,1059,2017,1
14S_IO_JACK_JACK_IO,27.8611,1064,2017,1
CYC19770219_HSK2277,30.433320000000002,1057,2017,1
19S_KAREN,27.8611,1062,2017,1
20P_OTTO_OTTOSECONDA,30.433320000000002,1049,2017,1
21P_NORMAN,30.433320000000002,1057,2017,1
PAT,30.433320000000002,1057,2017,1
23S_LEO,27.8611,1065,2017,1
24P_ROBERT,35.57776,1050,2017,1
25S_VERNA,25.28888,1065,2017,1
ANITA,25.28888,1072,2017,1
BABE,27.8611,1067,2017,1
